P,R,F1
0.7923976608187134,0.8338461538461538,0.8125937031484258
0.7883008356545961,0.8707692307692307,0.827485380116959
0.7877906976744186,0.8338461538461538,0.8101644245142002
0.7721179624664879,0.8861538461538462,0.8252148997134671
0.7678100263852242,0.8953846153846153,0.8267045454545454
0.7875354107648725,0.8553846153846154,0.8200589970501474
0.7867036011080333,0.8738461538461538,0.8279883381924198
0.7840909090909091,0.8492307692307692,0.8153618906942393
0.7960339943342776,0.8646153846153846,0.8289085545722714
0.7686170212765957,0.8892307692307693,0.8245363766048501
