P,R,F1
0.7594033722438391,0.8732289336316182,0.8123482483524106
0.7695390781563126,0.8590604026845637,0.8118393234672305
0.7629000653167864,0.8709917971662938,0.8133704735376045
0.7565831727681439,0.8784489187173751,0.8129744651483782
0.759090909090909,0.8717375093214019,0.8115237764665046
0.7642436149312377,0.8702460850111857,0.8138075313807531
0.7590439276485789,0.8762117822520508,0.8134302526825892
0.7525380710659898,0.8844146159582401,0.8131642098045937
0.762778505897772,0.8680089485458613,0.8119986048133939
0.7722110888443554,0.8620432513049963,0.8146582100070473
