P,R,F1
0.7645901639344262,0.8695003728560775,0.8136775994417307
0.7701532311792139,0.8620432513049963,0.8135116115411681
0.7587096774193548,0.8769574944071589,0.8135593220338984
0.741442542787286,0.9045488441461595,0.8149143432986227
0.769281914893617,0.8627889634601044,0.8133567662565904
0.7542966263526416,0.883668903803132,0.8138736263736264
0.7634338138925295,0.8687546607009694,0.8126961981164981
0.75493316359007,0.8844146159582401,0.8145604395604396
0.7484433374844334,0.8963460104399702,0.8157448252460129
0.7655942219304005,0.8695003728560775,0.8142458100558659
