P,R,F1
0.7589993898718731,0.8668989547038327,0.8093689004554326
0.7479387514723204,0.8850174216027874,0.8107245451643792
0.7622549019607843,0.8668989547038327,0.8112161721552004
0.7420289855072464,0.89198606271777,0.8101265822784811
0.7510373443983402,0.8829268292682927,0.8116591928251121
0.7664596273291926,0.8599303135888502,0.8105090311986866
0.7657992565055762,0.8613240418118467,0.8107576254509675
0.7425115207373272,0.8982578397212544,0.8129927467675812
0.7428571428571429,0.8878048780487805,0.808888888888889
0.7454438565549677,0.883623693379791,0.8086734693877551
