P,R,F1
0.7511961722488039,0.8752613240418119,0.8084969423881558
0.7572815533980582,0.8696864111498258,0.8096010379500487
0.7611484422724496,0.8682926829268293,0.8111979166666666
0.75453446191052,0.8696864111498258,0.8080284881838783
0.7616136919315404,0.8682926829268293,0.8114620644741126
0.7572639225181598,0.8717770034843205,0.8104956268221574
0.7624309392265194,0.8655052264808363,0.8107049608355092
0.7641277641277642,0.8668989547038327,0.812275546849494
0.7549909255898367,0.8696864111498258,0.8082901554404146
0.7591463414634146,0.867595818815331,0.8097560975609757
