P,R,F1
0.04081632653061224,0.6666666666666666,0.07692307692307691
0.03007518796992481,0.4444444444444444,0.056338028169014086
0.01675977653631285,0.3333333333333333,0.031914893617021274
0.040983606557377046,0.5555555555555556,0.07633587786259541
0.01818181818181818,0.1111111111111111,0.03125
0.05263157894736842,0.6666666666666666,0.09756097560975609
0.02702702702702703,0.4444444444444444,0.050955414012738856
0.03488372093023256,0.6666666666666666,0.06629834254143648
0.011320754716981131,0.3333333333333333,0.0218978102189781
0.033112582781456956,0.5555555555555556,0.06250000000000001
